nam_hoc,mon_hoc,diem,so_hoc_sinh
2025,lich_su,3.4,11
2025,lich_su,3.45,1067
2025,lich_su,3.5,2662
2025,lich_su,3.55,171
2025,lich_su,3.6,3403
2025,lich_su,3.65,6
2025,lich_su,3.7,1370
2025,lich_su,3.75,3832
2025,lich_su,3.8,177
2025,lich_su,3.85,4399
2025,lich_su,3.9,8
2025,lich_su,3.95,1426
2025,lich_su,4.0,4954
2025,lich_su,4.05,143
2025,lich_su,4.1,5205
2025,lich_su,4.15,6
2025,lich_su,4.2,1519
2025,lich_su,4.25,6463
2025,lich_su,4.3,136
2025,lich_su,4.35,5887
2025,lich_su,4.4,3
2025,lich_su,4.45,1534
2025,lich_su,4.5,8141
2025,lich_su,4.55,108
2025,lich_su,4.6,6558
2025,lich_su,4.65,4
2025,lich_su,4.7,1309
2025,lich_su,4.75,9779
2025,lich_su,4.8,80
2025,lich_su,4.85,6837
2025,lich_su,4.9,2
2025,lich_su,4.95,1174
2025,lich_su,5.0,11392
2025,lich_su,5.05,55
2025,lich_su,5.1,7031
2025,lich_su,5.2,1101
2025,lich_su,5.25,12873
2025,lich_su,5.3,46
2025,lich_su,5.35,6928
2025,lich_su,5.45,882
2025,lich_su,5.5,14520
2025,lich_su,5.55,25
2025,lich_su,5.6,6655
2025,lich_su,5.7,684
2025,lich_su,5.75,15796
2025,lich_su,5.8,23
2025,lich_su,5.85,6534
2025,lich_su,5.95,551
2025,lich_su,6.0,17941
2025,lich_su,6.05,11
2025,lich_su,6.1,5936
2025,lich_su,6.2,414
2025,lich_su,6.25,18903
2025,lich_su,6.3,4
2025,lich_su,6.35,5621
2025,lich_su,6.45,338
2025,lich_su,6.5,20010
2025,lich_su,6.55,3
2025,lich_su,6.6,5025
2025,lich_su,6.7,227
2025,lich_su,6.75,21280
2025,lich_su,6.8,1
2025,lich_su,6.85,4294
2025,lich_su,6.95,160
2025,lich_su,7.0,22066
2025,lich_su,7.1,3739
2025,lich_su,7.2,85
2025,lich_su,7.25,23042
2025,lich_su,7.35,3094
2025,lich_su,7.45,35
2025,lich_su,7.5,22947
2025,lich_su,7.6,2382
2025,lich_su,7.7,20
2025,lich_su,7.75,22879
2025,lich_su,7.85,1682
2025,lich_su,7.95,7
2025,lich_su,8.0,22140
2025,lich_su,8.1,1187
2025,lich_su,8.2,2
2025,lich_su,8.25,20687
2025,lich_su,8.35,730
2025,lich_su,8.5,18542
2025,lich_su,8.6,369
2025,lich_su,8.75,15958
2025,lich_su,8.85,170
2025,lich_su,9.0,12790
2025,lich_su,9.1,45
2025,lich_su,9.25,9535
2025,lich_su,9.5,6684
2025,lich_su,9.75,4123
2025,lich_su,10.0,1647
